"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2000",1.724827,
"AUS","EXCH","TOT","NATUSD","A","2001",1.933443,
"AUS","EXCH","TOT","NATUSD","A","2002",1.840563,
"AUS","EXCH","TOT","NATUSD","A","2003",1.541914,
"AUS","EXCH","TOT","NATUSD","A","2004",1.359752,
"AUS","EXCH","TOT","NATUSD","A","2005",1.309473,
"AUS","EXCH","TOT","NATUSD","A","2006",1.327973,
"AUS","EXCH","TOT","NATUSD","A","2007",1.195073,
"AUS","EXCH","TOT","NATUSD","A","2008",1.192178,
"AUS","EXCH","TOT","NATUSD","A","2009",1.282189,
"AUS","EXCH","TOT","NATUSD","A","2010",1.090159,
"AUS","EXCH","TOT","NATUSD","A","2011",0.969463,
"AUS","EXCH","TOT","NATUSD","A","2012",0.965801,
"AUS","EXCH","TOT","NATUSD","A","2013",1.035843,
"AUS","EXCH","TOT","NATUSD","A","2014",1.109363,
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUT","EXCH","TOT","NATUSD","A","2000",1.082705,
"AUT","EXCH","TOT","NATUSD","A","2001",1.116533,
"AUT","EXCH","TOT","NATUSD","A","2002",1.057559,
"AUT","EXCH","TOT","NATUSD","A","2003",0.884048,
"AUT","EXCH","TOT","NATUSD","A","2004",0.803922,
"AUT","EXCH","TOT","NATUSD","A","2005",0.8038,
"AUT","EXCH","TOT","NATUSD","A","2006",0.796433,
"AUT","EXCH","TOT","NATUSD","A","2007",0.729672,
"AUT","EXCH","TOT","NATUSD","A","2008",0.679923,
"AUT","EXCH","TOT","NATUSD","A","2009",0.716958,
"AUT","EXCH","TOT","NATUSD","A","2010",0.754309,
"AUT","EXCH","TOT","NATUSD","A","2011",0.718414,
"AUT","EXCH","TOT","NATUSD","A","2012",0.778338,
"AUT","EXCH","TOT","NATUSD","A","2013",0.752945,
"AUT","EXCH","TOT","NATUSD","A","2014",0.752728,
"AUT","EXCH","TOT","NATUSD","A","2015",0.901296,
"AUT","EXCH","TOT","NATUSD","A","2016",0.903421,
"AUT","EXCH","TOT","NATUSD","A","2017",0.885206,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","2000",1.082705,
"BEL","EXCH","TOT","NATUSD","A","2001",1.116533,
"BEL","EXCH","TOT","NATUSD","A","2002",1.057559,
"BEL","EXCH","TOT","NATUSD","A","2003",0.884048,
"BEL","EXCH","TOT","NATUSD","A","2004",0.803922,
"BEL","EXCH","TOT","NATUSD","A","2005",0.8038,
"BEL","EXCH","TOT","NATUSD","A","2006",0.796433,
"BEL","EXCH","TOT","NATUSD","A","2007",0.729672,
"BEL","EXCH","TOT","NATUSD","A","2008",0.679923,
"BEL","EXCH","TOT","NATUSD","A","2009",0.716958,
"BEL","EXCH","TOT","NATUSD","A","2010",0.754309,
"BEL","EXCH","TOT","NATUSD","A","2011",0.718414,
"BEL","EXCH","TOT","NATUSD","A","2012",0.778338,
"BEL","EXCH","TOT","NATUSD","A","2013",0.752945,
"BEL","EXCH","TOT","NATUSD","A","2014",0.752728,
"BEL","EXCH","TOT","NATUSD","A","2015",0.901296,
"BEL","EXCH","TOT","NATUSD","A","2016",0.903421,
"BEL","EXCH","TOT","NATUSD","A","2017",0.885206,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"CAN","EXCH","TOT","NATUSD","A","2000",1.485394,
"CAN","EXCH","TOT","NATUSD","A","2001",1.54884,
"CAN","EXCH","TOT","NATUSD","A","2002",1.570343,
"CAN","EXCH","TOT","NATUSD","A","2003",1.401015,
"CAN","EXCH","TOT","NATUSD","A","2004",1.301282,
"CAN","EXCH","TOT","NATUSD","A","2005",1.211405,
"CAN","EXCH","TOT","NATUSD","A","2006",1.134345,
"CAN","EXCH","TOT","NATUSD","A","2007",1.074046,
"CAN","EXCH","TOT","NATUSD","A","2008",1.067087,
"CAN","EXCH","TOT","NATUSD","A","2009",1.141535,
"CAN","EXCH","TOT","NATUSD","A","2010",1.030113,
"CAN","EXCH","TOT","NATUSD","A","2011",0.989258,
"CAN","EXCH","TOT","NATUSD","A","2012",0.999365,
"CAN","EXCH","TOT","NATUSD","A","2013",1.030137,
"CAN","EXCH","TOT","NATUSD","A","2014",1.104747,
"CAN","EXCH","TOT","NATUSD","A","2015",1.278786,
"CAN","EXCH","TOT","NATUSD","A","2016",1.325615,
"CAN","EXCH","TOT","NATUSD","A","2017",1.297936,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295818,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326793,
"CAN","EXCH","TOT","NATUSD","A","2020",1.341153,
"CZE","EXCH","TOT","NATUSD","A","2000",38.598417,
"CZE","EXCH","TOT","NATUSD","A","2001",38.035328,
"CZE","EXCH","TOT","NATUSD","A","2002",32.738518,
"CZE","EXCH","TOT","NATUSD","A","2003",28.209,
"CZE","EXCH","TOT","NATUSD","A","2004",25.69975,
"CZE","EXCH","TOT","NATUSD","A","2005",23.957417,
"CZE","EXCH","TOT","NATUSD","A","2006",22.595583,
"CZE","EXCH","TOT","NATUSD","A","2007",20.293667,
"CZE","EXCH","TOT","NATUSD","A","2008",17.071667,
"CZE","EXCH","TOT","NATUSD","A","2009",19.063,
"CZE","EXCH","TOT","NATUSD","A","2010",19.09825,
"CZE","EXCH","TOT","NATUSD","A","2011",17.695917,
"CZE","EXCH","TOT","NATUSD","A","2012",19.5775,
"CZE","EXCH","TOT","NATUSD","A","2013",19.570583,
"CZE","EXCH","TOT","NATUSD","A","2014",20.7575,
"CZE","EXCH","TOT","NATUSD","A","2015",24.59875,
"CZE","EXCH","TOT","NATUSD","A","2016",24.439917,
"CZE","EXCH","TOT","NATUSD","A","2017",23.376333,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"CZE","EXCH","TOT","NATUSD","A","2020",23.21025,
"DNK","EXCH","TOT","NATUSD","A","2000",8.083144,
"DNK","EXCH","TOT","NATUSD","A","2001",8.322817,
"DNK","EXCH","TOT","NATUSD","A","2002",7.894714,
"DNK","EXCH","TOT","NATUSD","A","2003",6.587673,
"DNK","EXCH","TOT","NATUSD","A","2004",5.991057,
"DNK","EXCH","TOT","NATUSD","A","2005",5.99691,
"DNK","EXCH","TOT","NATUSD","A","2006",5.946778,
"DNK","EXCH","TOT","NATUSD","A","2007",5.443701,
"DNK","EXCH","TOT","NATUSD","A","2008",5.098131,
"DNK","EXCH","TOT","NATUSD","A","2009",5.360867,
"DNK","EXCH","TOT","NATUSD","A","2010",5.624075,
"DNK","EXCH","TOT","NATUSD","A","2011",5.368712,
"DNK","EXCH","TOT","NATUSD","A","2012",5.792476,
"DNK","EXCH","TOT","NATUSD","A","2013",5.616312,
"DNK","EXCH","TOT","NATUSD","A","2014",5.612467,
"DNK","EXCH","TOT","NATUSD","A","2015",6.727907,
"DNK","EXCH","TOT","NATUSD","A","2016",6.731718,
"DNK","EXCH","TOT","NATUSD","A","2017",6.602893,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"DNK","EXCH","TOT","NATUSD","A","2020",6.542152,
"FIN","EXCH","TOT","NATUSD","A","2000",1.082705,
"FIN","EXCH","TOT","NATUSD","A","2001",1.116533,
"FIN","EXCH","TOT","NATUSD","A","2002",1.057559,
"FIN","EXCH","TOT","NATUSD","A","2003",0.884048,
"FIN","EXCH","TOT","NATUSD","A","2004",0.803922,
"FIN","EXCH","TOT","NATUSD","A","2005",0.8038,
"FIN","EXCH","TOT","NATUSD","A","2006",0.796433,
"FIN","EXCH","TOT","NATUSD","A","2007",0.729672,
"FIN","EXCH","TOT","NATUSD","A","2008",0.679923,
"FIN","EXCH","TOT","NATUSD","A","2009",0.716958,
"FIN","EXCH","TOT","NATUSD","A","2010",0.754309,
"FIN","EXCH","TOT","NATUSD","A","2011",0.718414,
"FIN","EXCH","TOT","NATUSD","A","2012",0.778338,
"FIN","EXCH","TOT","NATUSD","A","2013",0.752945,
"FIN","EXCH","TOT","NATUSD","A","2014",0.752728,
"FIN","EXCH","TOT","NATUSD","A","2015",0.901296,
"FIN","EXCH","TOT","NATUSD","A","2016",0.903421,
"FIN","EXCH","TOT","NATUSD","A","2017",0.885206,
"FIN","EXCH","TOT","NATUSD","A","2018",0.846773,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FIN","EXCH","TOT","NATUSD","A","2020",0.875506,
"FRA","EXCH","TOT","NATUSD","A","2000",1.082705,
"FRA","EXCH","TOT","NATUSD","A","2001",1.116533,
"FRA","EXCH","TOT","NATUSD","A","2002",1.057559,
"FRA","EXCH","TOT","NATUSD","A","2003",0.884048,
"FRA","EXCH","TOT","NATUSD","A","2004",0.803922,
"FRA","EXCH","TOT","NATUSD","A","2005",0.8038,
"FRA","EXCH","TOT","NATUSD","A","2006",0.796433,
"FRA","EXCH","TOT","NATUSD","A","2007",0.729672,
"FRA","EXCH","TOT","NATUSD","A","2008",0.679923,
"FRA","EXCH","TOT","NATUSD","A","2009",0.716958,
"FRA","EXCH","TOT","NATUSD","A","2010",0.754309,
"FRA","EXCH","TOT","NATUSD","A","2011",0.718414,
"FRA","EXCH","TOT","NATUSD","A","2012",0.778338,
"FRA","EXCH","TOT","NATUSD","A","2013",0.752945,
"FRA","EXCH","TOT","NATUSD","A","2014",0.752728,
"FRA","EXCH","TOT","NATUSD","A","2015",0.901296,
"FRA","EXCH","TOT","NATUSD","A","2016",0.903421,
"FRA","EXCH","TOT","NATUSD","A","2017",0.885206,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2020",0.875506,
"DEU","EXCH","TOT","NATUSD","A","2000",1.082705,
"DEU","EXCH","TOT","NATUSD","A","2001",1.116533,
"DEU","EXCH","TOT","NATUSD","A","2002",1.057559,
"DEU","EXCH","TOT","NATUSD","A","2003",0.884048,
"DEU","EXCH","TOT","NATUSD","A","2004",0.803922,
"DEU","EXCH","TOT","NATUSD","A","2005",0.8038,
"DEU","EXCH","TOT","NATUSD","A","2006",0.796433,
"DEU","EXCH","TOT","NATUSD","A","2007",0.729672,
"DEU","EXCH","TOT","NATUSD","A","2008",0.679923,
"DEU","EXCH","TOT","NATUSD","A","2009",0.716958,
"DEU","EXCH","TOT","NATUSD","A","2010",0.754309,
"DEU","EXCH","TOT","NATUSD","A","2011",0.718414,
"DEU","EXCH","TOT","NATUSD","A","2012",0.778338,
"DEU","EXCH","TOT","NATUSD","A","2013",0.752945,
"DEU","EXCH","TOT","NATUSD","A","2014",0.752728,
"DEU","EXCH","TOT","NATUSD","A","2015",0.901296,
"DEU","EXCH","TOT","NATUSD","A","2016",0.903421,
"DEU","EXCH","TOT","NATUSD","A","2017",0.885206,
"DEU","EXCH","TOT","NATUSD","A","2018",0.846773,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2020",0.875506,
"GRC","EXCH","TOT","NATUSD","A","2000",1.072336,
"GRC","EXCH","TOT","NATUSD","A","2001",1.116533,
"GRC","EXCH","TOT","NATUSD","A","2002",1.057559,
"GRC","EXCH","TOT","NATUSD","A","2003",0.884048,
"GRC","EXCH","TOT","NATUSD","A","2004",0.803922,
"GRC","EXCH","TOT","NATUSD","A","2005",0.8038,
"GRC","EXCH","TOT","NATUSD","A","2006",0.796433,
"GRC","EXCH","TOT","NATUSD","A","2007",0.729672,
"GRC","EXCH","TOT","NATUSD","A","2008",0.679923,
"GRC","EXCH","TOT","NATUSD","A","2009",0.716958,
"GRC","EXCH","TOT","NATUSD","A","2010",0.754309,
"GRC","EXCH","TOT","NATUSD","A","2011",0.718414,
"GRC","EXCH","TOT","NATUSD","A","2012",0.778338,
"GRC","EXCH","TOT","NATUSD","A","2013",0.752945,
"GRC","EXCH","TOT","NATUSD","A","2014",0.752728,
"GRC","EXCH","TOT","NATUSD","A","2015",0.901296,
"GRC","EXCH","TOT","NATUSD","A","2016",0.903421,
"GRC","EXCH","TOT","NATUSD","A","2017",0.885206,
"GRC","EXCH","TOT","NATUSD","A","2018",0.846773,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2020",0.875506,
"HUN","EXCH","TOT","NATUSD","A","2000",282.179167,
"HUN","EXCH","TOT","NATUSD","A","2001",286.49,
"HUN","EXCH","TOT","NATUSD","A","2002",257.886667,
"HUN","EXCH","TOT","NATUSD","A","2003",224.306667,
"HUN","EXCH","TOT","NATUSD","A","2004",202.745833,
"HUN","EXCH","TOT","NATUSD","A","2005",199.5825,
"HUN","EXCH","TOT","NATUSD","A","2006",210.39,
"HUN","EXCH","TOT","NATUSD","A","2007",183.625833,
"HUN","EXCH","TOT","NATUSD","A","2008",172.113333,
"HUN","EXCH","TOT","NATUSD","A","2009",202.341667,
"HUN","EXCH","TOT","NATUSD","A","2010",207.944167,
"HUN","EXCH","TOT","NATUSD","A","2011",201.055,
"HUN","EXCH","TOT","NATUSD","A","2012",225.104167,
"HUN","EXCH","TOT","NATUSD","A","2013",223.695,
"HUN","EXCH","TOT","NATUSD","A","2014",232.601667,
"HUN","EXCH","TOT","NATUSD","A","2015",279.3325,
"HUN","EXCH","TOT","NATUSD","A","2016",281.523333,
"HUN","EXCH","TOT","NATUSD","A","2017",274.433333,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"HUN","EXCH","TOT","NATUSD","A","2020",307.996667,
"ISL","EXCH","TOT","NATUSD","A","2000",78.615947,
"ISL","EXCH","TOT","NATUSD","A","2001",97.424603,
"ISL","EXCH","TOT","NATUSD","A","2002",91.661667,
"ISL","EXCH","TOT","NATUSD","A","2003",76.708983,
"ISL","EXCH","TOT","NATUSD","A","2004",70.191667,
"ISL","EXCH","TOT","NATUSD","A","2005",62.981667,
"ISL","EXCH","TOT","NATUSD","A","2006",70.18,
"ISL","EXCH","TOT","NATUSD","A","2007",64.055,
"ISL","EXCH","TOT","NATUSD","A","2008",87.947917,
"ISL","EXCH","TOT","NATUSD","A","2009",123.638381,
"ISL","EXCH","TOT","NATUSD","A","2010",122.241811,
"ISL","EXCH","TOT","NATUSD","A","2011",115.95404,
"ISL","EXCH","TOT","NATUSD","A","2012",125.082787,
"ISL","EXCH","TOT","NATUSD","A","2013",122.179121,
"ISL","EXCH","TOT","NATUSD","A","2014",116.767353,
"ISL","EXCH","TOT","NATUSD","A","2015",131.918708,
"ISL","EXCH","TOT","NATUSD","A","2016",120.811548,
"ISL","EXCH","TOT","NATUSD","A","2017",106.839572,
"ISL","EXCH","TOT","NATUSD","A","2018",108.300176,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"ISL","EXCH","TOT","NATUSD","A","2020",135.421712,
"IRL","EXCH","TOT","NATUSD","A","2000",1.082705,
"IRL","EXCH","TOT","NATUSD","A","2001",1.116533,
"IRL","EXCH","TOT","NATUSD","A","2002",1.057559,
"IRL","EXCH","TOT","NATUSD","A","2003",0.884048,
"IRL","EXCH","TOT","NATUSD","A","2004",0.803922,
"IRL","EXCH","TOT","NATUSD","A","2005",0.8038,
"IRL","EXCH","TOT","NATUSD","A","2006",0.796433,
"IRL","EXCH","TOT","NATUSD","A","2007",0.729672,
"IRL","EXCH","TOT","NATUSD","A","2008",0.679923,
"IRL","EXCH","TOT","NATUSD","A","2009",0.716958,
"IRL","EXCH","TOT","NATUSD","A","2010",0.754309,
"IRL","EXCH","TOT","NATUSD","A","2011",0.718414,
"IRL","EXCH","TOT","NATUSD","A","2012",0.778338,
"IRL","EXCH","TOT","NATUSD","A","2013",0.752945,
"IRL","EXCH","TOT","NATUSD","A","2014",0.752728,
"IRL","EXCH","TOT","NATUSD","A","2015",0.901296,
"IRL","EXCH","TOT","NATUSD","A","2016",0.903421,
"IRL","EXCH","TOT","NATUSD","A","2017",0.885206,
"IRL","EXCH","TOT","NATUSD","A","2018",0.846773,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"IRL","EXCH","TOT","NATUSD","A","2020",0.875506,
"ITA","EXCH","TOT","NATUSD","A","2000",1.082705,
"ITA","EXCH","TOT","NATUSD","A","2001",1.116533,
"ITA","EXCH","TOT","NATUSD","A","2002",1.057559,
"ITA","EXCH","TOT","NATUSD","A","2003",0.884048,
"ITA","EXCH","TOT","NATUSD","A","2004",0.803922,
"ITA","EXCH","TOT","NATUSD","A","2005",0.8038,
"ITA","EXCH","TOT","NATUSD","A","2006",0.796433,
"ITA","EXCH","TOT","NATUSD","A","2007",0.729672,
"ITA","EXCH","TOT","NATUSD","A","2008",0.679923,
"ITA","EXCH","TOT","NATUSD","A","2009",0.716958,
"ITA","EXCH","TOT","NATUSD","A","2010",0.754309,
"ITA","EXCH","TOT","NATUSD","A","2011",0.718414,
"ITA","EXCH","TOT","NATUSD","A","2012",0.778338,
"ITA","EXCH","TOT","NATUSD","A","2013",0.752945,
"ITA","EXCH","TOT","NATUSD","A","2014",0.752728,
"ITA","EXCH","TOT","NATUSD","A","2015",0.901296,
"ITA","EXCH","TOT","NATUSD","A","2016",0.903421,
"ITA","EXCH","TOT","NATUSD","A","2017",0.885206,
"ITA","EXCH","TOT","NATUSD","A","2018",0.846773,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2020",0.875506,
"JPN","EXCH","TOT","NATUSD","A","2000",107.765498,
"JPN","EXCH","TOT","NATUSD","A","2001",121.528948,
"JPN","EXCH","TOT","NATUSD","A","2002",125.388019,
"JPN","EXCH","TOT","NATUSD","A","2003",115.933464,
"JPN","EXCH","TOT","NATUSD","A","2004",108.192569,
"JPN","EXCH","TOT","NATUSD","A","2005",110.218212,
"JPN","EXCH","TOT","NATUSD","A","2006",116.299312,
"JPN","EXCH","TOT","NATUSD","A","2007",117.753529,
"JPN","EXCH","TOT","NATUSD","A","2008",103.359494,
"JPN","EXCH","TOT","NATUSD","A","2009",93.570089,
"JPN","EXCH","TOT","NATUSD","A","2010",87.779875,
"JPN","EXCH","TOT","NATUSD","A","2011",79.80702,
"JPN","EXCH","TOT","NATUSD","A","2012",79.790455,
"JPN","EXCH","TOT","NATUSD","A","2013",97.595658,
"JPN","EXCH","TOT","NATUSD","A","2014",105.944781,
"JPN","EXCH","TOT","NATUSD","A","2015",121.044026,
"JPN","EXCH","TOT","NATUSD","A","2016",108.7929,
"JPN","EXCH","TOT","NATUSD","A","2017",112.166141,
"JPN","EXCH","TOT","NATUSD","A","2018",110.423179,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"JPN","EXCH","TOT","NATUSD","A","2020",106.774582,
"KOR","EXCH","TOT","NATUSD","A","2000",1130.3625,
"KOR","EXCH","TOT","NATUSD","A","2001",1290.79,
"KOR","EXCH","TOT","NATUSD","A","2002",1251.6025,
"KOR","EXCH","TOT","NATUSD","A","2003",1191.645833,
"KOR","EXCH","TOT","NATUSD","A","2004",1146.249167,
"KOR","EXCH","TOT","NATUSD","A","2005",1024.328333,
"KOR","EXCH","TOT","NATUSD","A","2006",955.340833,
"KOR","EXCH","TOT","NATUSD","A","2007",929.375833,
"KOR","EXCH","TOT","NATUSD","A","2008",1100.125833,
"KOR","EXCH","TOT","NATUSD","A","2009",1277.245833,
"KOR","EXCH","TOT","NATUSD","A","2010",1156.46,
"KOR","EXCH","TOT","NATUSD","A","2011",1108.233333,
"KOR","EXCH","TOT","NATUSD","A","2012",1126.806667,
"KOR","EXCH","TOT","NATUSD","A","2013",1094.9825,
"KOR","EXCH","TOT","NATUSD","A","2014",1052.84,
"KOR","EXCH","TOT","NATUSD","A","2015",1130.9525,
"KOR","EXCH","TOT","NATUSD","A","2016",1160.7675,
"KOR","EXCH","TOT","NATUSD","A","2017",1131.000833,
"KOR","EXCH","TOT","NATUSD","A","2018",1100.163333,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.3575,
"KOR","EXCH","TOT","NATUSD","A","2020",1180.276058,
"LUX","EXCH","TOT","NATUSD","A","2000",1.082705,
"LUX","EXCH","TOT","NATUSD","A","2001",1.116533,
"LUX","EXCH","TOT","NATUSD","A","2002",1.057559,
"LUX","EXCH","TOT","NATUSD","A","2003",0.884048,
"LUX","EXCH","TOT","NATUSD","A","2004",0.803922,
"LUX","EXCH","TOT","NATUSD","A","2005",0.8038,
"LUX","EXCH","TOT","NATUSD","A","2006",0.796433,
"LUX","EXCH","TOT","NATUSD","A","2007",0.729672,
"LUX","EXCH","TOT","NATUSD","A","2008",0.679923,
"LUX","EXCH","TOT","NATUSD","A","2009",0.716958,
"LUX","EXCH","TOT","NATUSD","A","2010",0.754309,
"LUX","EXCH","TOT","NATUSD","A","2011",0.718414,
"LUX","EXCH","TOT","NATUSD","A","2012",0.778338,
"LUX","EXCH","TOT","NATUSD","A","2013",0.752945,
"LUX","EXCH","TOT","NATUSD","A","2014",0.752728,
"LUX","EXCH","TOT","NATUSD","A","2015",0.901296,
"LUX","EXCH","TOT","NATUSD","A","2016",0.903421,
"LUX","EXCH","TOT","NATUSD","A","2017",0.885206,
"LUX","EXCH","TOT","NATUSD","A","2018",0.846773,
"LUX","EXCH","TOT","NATUSD","A","2019",0.893276,
"LUX","EXCH","TOT","NATUSD","A","2020",0.875506,
"MEX","EXCH","TOT","NATUSD","A","2000",9.455558,
"MEX","EXCH","TOT","NATUSD","A","2001",9.342342,
"MEX","EXCH","TOT","NATUSD","A","2002",9.655958,
"MEX","EXCH","TOT","NATUSD","A","2003",10.789019,
"MEX","EXCH","TOT","NATUSD","A","2004",11.285967,
"MEX","EXCH","TOT","NATUSD","A","2005",10.897892,
"MEX","EXCH","TOT","NATUSD","A","2006",10.899242,
"MEX","EXCH","TOT","NATUSD","A","2007",10.928192,
"MEX","EXCH","TOT","NATUSD","A","2008",11.129717,
"MEX","EXCH","TOT","NATUSD","A","2009",13.513475,
"MEX","EXCH","TOT","NATUSD","A","2010",12.636008,
"MEX","EXCH","TOT","NATUSD","A","2011",12.423325,
"MEX","EXCH","TOT","NATUSD","A","2012",13.169458,
"MEX","EXCH","TOT","NATUSD","A","2013",12.771992,
"MEX","EXCH","TOT","NATUSD","A","2014",13.29245,
"MEX","EXCH","TOT","NATUSD","A","2015",15.848267,
"MEX","EXCH","TOT","NATUSD","A","2016",18.664058,
"MEX","EXCH","TOT","NATUSD","A","2017",18.926517,
"MEX","EXCH","TOT","NATUSD","A","2018",19.244342,
"MEX","EXCH","TOT","NATUSD","A","2019",19.263633,
"MEX","EXCH","TOT","NATUSD","A","2020",21.485608,
"NLD","EXCH","TOT","NATUSD","A","2000",1.082705,
"NLD","EXCH","TOT","NATUSD","A","2001",1.116533,
"NLD","EXCH","TOT","NATUSD","A","2002",1.057559,
"NLD","EXCH","TOT","NATUSD","A","2003",0.884048,
"NLD","EXCH","TOT","NATUSD","A","2004",0.803922,
"NLD","EXCH","TOT","NATUSD","A","2005",0.8038,
"NLD","EXCH","TOT","NATUSD","A","2006",0.796433,
"NLD","EXCH","TOT","NATUSD","A","2007",0.729672,
"NLD","EXCH","TOT","NATUSD","A","2008",0.679923,
"NLD","EXCH","TOT","NATUSD","A","2009",0.716958,
"NLD","EXCH","TOT","NATUSD","A","2010",0.754309,
"NLD","EXCH","TOT","NATUSD","A","2011",0.718414,
"NLD","EXCH","TOT","NATUSD","A","2012",0.778338,
"NLD","EXCH","TOT","NATUSD","A","2013",0.752945,
"NLD","EXCH","TOT","NATUSD","A","2014",0.752728,
"NLD","EXCH","TOT","NATUSD","A","2015",0.901296,
"NLD","EXCH","TOT","NATUSD","A","2016",0.903421,
"NLD","EXCH","TOT","NATUSD","A","2017",0.885206,
"NLD","EXCH","TOT","NATUSD","A","2018",0.846773,
"NLD","EXCH","TOT","NATUSD","A","2019",0.893276,
"NLD","EXCH","TOT","NATUSD","A","2020",0.875506,
"NZL","EXCH","TOT","NATUSD","A","2000",2.201149,
"NZL","EXCH","TOT","NATUSD","A","2001",2.378751,
"NZL","EXCH","TOT","NATUSD","A","2002",2.162191,
"NZL","EXCH","TOT","NATUSD","A","2003",1.722099,
"NZL","EXCH","TOT","NATUSD","A","2004",1.508681,
"NZL","EXCH","TOT","NATUSD","A","2005",1.420273,
"NZL","EXCH","TOT","NATUSD","A","2006",1.542056,
"NZL","EXCH","TOT","NATUSD","A","2007",1.360675,
"NZL","EXCH","TOT","NATUSD","A","2008",1.422727,
"NZL","EXCH","TOT","NATUSD","A","2009",1.600877,
"NZL","EXCH","TOT","NATUSD","A","2010",1.387834,
"NZL","EXCH","TOT","NATUSD","A","2011",1.265811,
"NZL","EXCH","TOT","NATUSD","A","2012",1.234284,
"NZL","EXCH","TOT","NATUSD","A","2013",1.219408,
"NZL","EXCH","TOT","NATUSD","A","2014",1.205433,
"NZL","EXCH","TOT","NATUSD","A","2015",1.433975,
