County,Male,Female,Intersex,Total Population,Town,lat,lng
Mombasa,610257,598046,30,1208333,Mombasa,-4.05,39.6667
Kwale,425121,441681,18,866820,Kwale,-4.1737,39.4521
Kilifi,704089,749673,25,1453787,Malindi,-3.21,40.1
Tana River,158550,157391,2,315943,Tana River,-1.5,40.03
Lamu,76103,67813,4,143920,Lamu,-2.2686,40.9003
Taita/Taveta,173337,167327,7,340671,Voi,-3.3696,38.57
Garissa,458975,382344,34,841353,Garissa,-0.4569,39.6583
Wajir,415374,365840,49,781263,Wajir,1.75,40.0667
Mandera,434976,432444,37,867457,Mandera,3.9167,41.8333
Marsabit,243548,216219,18,459785,Marsabit,2.3333,37.9833
Isiolo,139510,128483,9,268002,Isiolo,0.35,37.5833
Meru,767698,777975,41,1545714,Meru,0.05,37.65
Tharaka-Nithi,193764,199406,7,393177,Tharaka-Nithi,-0.17673,38.063146
Embu,304208,304367,24,608599,Embu,-0.5333,37.45
Kitui,549003,587151,33,1136187,Kitui,-1.3667,38.0167
Machakos,710707,711191,34,1421932,Machakos,-1.5167,37.2667
Makueni,489691,497942,20,987653,Wote,-1.7808,37.6288
Nyandarua,315022,323247,20,638289,Ol Kalou,-0.2643,36.3788
Nyeri,374288,384845,31,759164,Nyeri,-0.4167,36.95
Kirinyaga,302011,308369,31,610411,Kerugoya,-0.4989,37.2803
Murang'a,523940,532669,31,1056640,Murangâ€™a,-0.721,37.1526
Kiambu,1187146,1230454,135,2417735,Thika,-1.0396,37.09
Turkana,478087,448868,21,926976,Lodwar,3.1167,35.6
West Pokot,307013,314213,15,621241,Kapenguria,1.2389,35.1119
Samburu,156774,153546,7,310327,Maralal,1.1,36.7
Trans Nzoia,489107,501206,28,990341,Kitale,1.0167,35
Uasin Gishu,580269,582889,28,1163186,Eldoret,0.5167,35.2833
Elgeyo/Marakwet,227317,227151,12,454480,Iten,0.6703,35.5081
Nandi,441259,444430,22,885711,Kapsabet,0.2,35.1
Baringo,336322,330428,13,666763,Kabarnet,0.4919,35.743
Laikipia,259440,259102,18,518560,Nanyuki,0.0167,37.0667
Nakuru,1077272,1084835,95,2162202,Nakuru,-0.2833,36.0667
Narok,579042,578805,26,1157873,Narok,-1.0833,35.8667
Kajiado,557098,560704,38,1117840,Kajiado,-1.85,36.7833
Kericho,450741,451008,28,901777,Kericho,-0.3692,35.2839
Bomet,434287,441379,23,875689,Sotik,-0.6796,35.12
Kakamega,897133,970406,40,1867579,Mumias,0.3333,34.4833
Vihiga,283678,306323,12,590013,Vihiga,0.0666664,34.666664
Bungoma,812146,858389,35,1670570,Bungoma,0.5666,34.5666
Busia,426252,467401,28,893681,Busia,0.4608,34.1108
Siaya,471669,521496,18,993183,Siaya,0.0607,34.2881
Kisumu,560942,594609,23,1155574,Kisumu,-0.1,34.75
Homa Bay,539560,592367,23,1131950,Kendu Bay,-0.3596,34.64
Migori,536187,580214,35,1116436,Migori,-1.0634,34.4731
Kisii,605784,661038,38,1266860,Kisii,-0.6698,34.7675
Nyamira,290907,314656,13,605576,Nyamira,-0.5633,34.9358
Nairobi City,2192452,2204376,245,4397073,Nairobi,-1.2864,36.8172
