,city,Male,Female,Intersex,Total,Town,lat,lng,country,iso2,capital,population,population_proper
0,Mombasa,610257,598046,30,1208333,Mombasa,-4.05,39.6667,Kenya,KE,admin,1200000.0,1200000.0
1,Kwale,425121,441681,18,866820,Kwale,-4.1737,39.4521,Kenya,KE,admin,,
2,Kilifi,704089,749673,25,1453787,Malindi,-3.21,40.1,Kenya,KE,,94016.0,68304.0
3,Kilifi,704089,749673,25,1453787,Kilifi,-3.6333,39.85,Kenya,KE,,80339.0,46118.0
4,Tana River,158550,157391,2,315943,Tana River,-1.5,40.03,Kenya,KE,admin,6931.0,6931.0
5,Lamu,76103,67813,4,143920,Lamu,-2.2686,40.9003,Kenya,KE,admin,18382.0,18382.0
6,Taita/Taveta,173337,167327,7,340671,Voi,-3.3696,38.57,Kenya,KE,,36487.0,19624.0
7,Taita/Taveta,173337,167327,7,340671,Mwatate,-3.505,38.3772,Kenya,KE,admin,,
8,Garissa,458975,382344,34,841353,Garissa,-0.4569,39.6583,Kenya,KE,admin,65881.0,65881.0
9,Wajir,415374,365840,49,781263,Wajir,1.75,40.0667,Kenya,KE,admin,45771.0,34709.0
10,Mandera,434976,432444,37,867457,Mandera,3.9167,41.8333,Kenya,KE,admin,30433.0,30433.0
11,Marsabit,243548,216219,18,459785,Marsabit,2.3333,37.9833,Kenya,KE,admin,17127.0,17127.0
12,Isiolo,139510,128483,9,268002,Isiolo,0.35,37.5833,Kenya,KE,admin,45989.0,45989.0
13,Meru,767698,777975,41,1545714,Meru,0.05,37.65,Kenya,KE,admin,1833000.0,1833000.0
14,Tharaka-Nithi,193764,199406,7,393177,,,,,,,,
15,Embu,304208,304367,24,608599,Embu,-0.5333,37.45,Kenya,KE,admin,41092.0,41092.0
16,Kitui,549003,587151,33,1136187,Kitui,-1.3667,38.0167,Kenya,KE,admin,29062.0,29062.0
17,Machakos,710707,711191,34,1421932,Machakos,-1.5167,37.2667,Kenya,KE,admin,114109.0,114109.0
18,Machakos,710707,711191,34,1421932,Athi River,-1.45,36.9833,Kenya,KE,,81302.0,81302.0
19,Makueni,489691,497942,20,987653,Wote,-1.7808,37.6288,Kenya,KE,admin,,
20,Nyandarua,315022,323247,20,638289,Ol Kalou,-0.2643,36.3788,Kenya,KE,admin,,
21,Nyeri,374288,384845,31,759164,Nyeri,-0.4167,36.95,Kenya,KE,admin,98908.0,98908.0
22,Kirinyaga,302011,308369,31,610411,Kerugoya,-0.4989,37.2803,Kenya,KE,admin,,
23,Murang'a,523940,532669,31,1056640,Murangâ€™a,-0.721,37.1526,Kenya,KE,admin,,
24,Kiambu,1187146,1230454,135,2417735,Thika,-1.0396,37.09,Kenya,KE,,99322.0,87821.0
25,Kiambu,1187146,1230454,135,2417735,Kiambu,-1.1714,36.8356,Kenya,KE,admin,,
26,Turkana,478087,448868,21,926976,Lodwar,3.1167,35.6,Kenya,KE,admin,82970.0,82970.0
27,West Pokot,307013,314213,15,621241,Kapenguria,1.2389,35.1119,Kenya,KE,admin,,
28,Samburu,156774,153546,7,310327,Maralal,1.1,36.7,Kenya,KE,admin,20841.0,20841.0
29,Trans Nzoia,489107,501206,28,990341,Kitale,1.0167,35.0,Kenya,KE,admin,63245.0,63245.0
30,Uasin Gishu,580269,582889,28,1163186,Eldoret,0.5167,35.2833,Kenya,KE,admin,193830.0,193830.0
31,Elgeyo/Marakwet,227317,227151,12,454480,Iten,0.6703,35.5081,Kenya,KE,admin,,
32,Nandi,441259,444430,22,885711,Kapsabet,0.2,35.1,Kenya,KE,admin,17918.0,17918.0
33,Baringo,336322,330428,13,666763,Kabarnet,0.4919,35.743,Kenya,KE,admin,,
34,Laikipia,259440,259102,18,518560,Nanyuki,0.0167,37.0667,Kenya,KE,,31577.0,31577.0
35,Laikipia,259440,259102,18,518560,Rumuruti,0.2725,36.5381,Kenya,KE,admin,,
36,Nakuru,1077272,1084835,95,2162202,Nakuru,-0.2833,36.0667,Kenya,KE,admin,307990.0,307990.0
37,Narok,579042,578805,26,1157873,Narok,-1.0833,35.8667,Kenya,KE,admin,,
38,Kajiado,557098,560704,38,1117840,Kajiado,-1.85,36.7833,Kenya,KE,admin,,
39,Kericho,450741,451008,28,901777,Kericho,-0.3692,35.2839,Kenya,KE,admin,30023.0,30023.0
40,Bomet,434287,441379,23,875689,Sotik,-0.6796,35.12,Kenya,KE,,71285.0,2600.0
41,Bomet,434287,441379,23,875689,Sotik Post,-0.7813,35.3416,Kenya,KE,admin,,
42,Kakamega,897133,970406,40,1867579,Mumias,0.3333,34.4833,Kenya,KE,,99987.0,99987.0
43,Kakamega,897133,970406,40,1867579,Kakamega,0.2833,34.75,Kenya,KE,admin,91778.0,91778.0
44,Vihiga,283678,306323,12,590013,,,,,,,,
45,Bungoma,812146,858389,35,1670570,Bungoma,0.5666,34.5666,Kenya,KE,admin,55857.0,55857.0
46,Busia,426252,467401,28,893681,Busia,0.4608,34.1108,Kenya,KE,admin,30777.0,30777.0
47,Siaya,471669,521496,18,993183,Siaya,0.0607,34.2881,Kenya,KE,admin,,
48,Kisumu,560942,594609,23,1155574,Kisumu,-0.1,34.75,Kenya,KE,admin,409928.0,409928.0
49,Homa Bay,539560,592367,23,1131950,Kendu Bay,-0.3596,34.64,Kenya,KE,,91248.0,91248.0
50,Homa Bay,539560,592367,23,1131950,Homa Bay,-0.5167,34.45,Kenya,KE,admin,32174.0,32174.0
51,Migori,536187,580214,35,1116436,Migori,-1.0634,34.4731,Kenya,KE,admin,,
52,Kisii,605784,661038,38,1266860,Kisii,-0.6698,34.7675,Kenya,KE,admin,112417.0,112417.0
53,Nyamira,290907,314656,13,605576,Nyamira,-0.5633,34.9358,Kenya,KE,admin,,
54,Nairobi City,2192452,2204376,245,4397073,Nairobi,-1.2864,36.8172,Kenya,KE,primary,5545000.0,5545000.0
